index,单价,小区名称,建筑面积,户型,房屋总价,朝向,楼层,装修
31,43313元/平米,福津大街,65.8平米,2室1厅1卫,285万,南北,低层,简装修
32,46377元/平米,锦绣广场,138平米,4室2厅2卫,640万,东南,中层,简装修
33,70451元/平米,联发滨海名居,98.65平米,2室1厅2卫,695万,南,高层,精装修
34,41489元/平米,松柏公寓,96.41平米,3室2厅2卫,400万,东西,高层,简装修
35,45333元/平米,永康大厦,75平米,2室2厅1卫,340万,西北,高层,精装修
36,69708元/平米,亿力音乐花园二期,124.52平米,3室2厅2卫,868万,南北,低层,中装修
37,44444元/平米,前埔北区一里,99平米,3室2厅2卫,440万,南北,中层,中装修
38,34416元/平米,岳阳小区,77平米,3室2厅1卫,265万,南北,高层,简装修
39,55641元/平米,观海澜庭,143.42平米,4室2厅2卫,798万,南北,低层,中装修
40,71140元/平米,亿力音乐花园,123.7平米,3室2厅2卫,880万,南北,低层,精装修
41,65517元/平米,鑫塔水尚,145平米,5室2厅3卫,950万,东西,高层,精装修
42,39242元/平米,仙阁里,60.65平米,2室1厅1卫,238万,南北,低层,中装修
43,50193元/平米,玉成豪园,129.5平米,3室2厅2卫,650万,南北,中层,简装修
44,47016元/平米,摩登时代,55.3平米,3室1厅1卫,260万,南北,中层,精装修
45,61983元/平米,瑞景公园,164.56平米,3室2厅3卫,1020万,南北,低层,精装修
46,47368元/平米,厦大南华路住宅,95平米,3室2厅1卫,450万,南北,中层,简装修
47,53846元/平米,观海澜庭,117平米,3室2厅2卫,630万,南北,中层,精装修
48,47506元/平米,银聚祥邸,378.9平米,3室2厅4卫,1800万,东南,低层,豪华装修
49,46565元/平米,建发花园三期,131平米,4室2厅2卫,610万,南,低层,简装修
50,55958元/平米,鑫塔水尚,111.69平米,3室2厅1卫,625万,东,低层,暂无
51,46800元/平米,宝龙中心二期,145.3平米,3室2厅2卫,680万,南北,中层,简装修
52,72591元/平米,华侨海景城二期,165.31平米,4室2厅2卫,1200万,南北,低层,中装修
53,59126元/平米,名仕御园别墅,389平米,8室3厅5卫,2300万,东,低层,中装修
54,68254元/平米,故宫裕景,63平米,2室1厅1卫,430万,北,低层,精装修
55,48780元/平米,厦港新村,68.88平米,3室2厅1卫,336万,南北,中层,简装修
56,65007元/平米,罗宾森广场,128.91平米,4室1厅2卫,838万,东南,低层,精装修
57,78833元/平米,海峡国际社区四期,101.48平米,2室2厅1卫,800万,南,低层,精装修
58,62738元/平米,瑞景公园,157.8平米,3室2厅2卫,990万,南北,低层,精装修
59,77170元/平米,山景叠院,155.5平米,3室2厅2卫,1200万,南北,低层,精装修
0,60556元/平米,万科金域蓝湾,90平米,3室2厅1卫,545万,东西,高层,简装修
1,51128元/平米,松柏湖花园,133平米,3室2厅2卫,680万,南北,低层,简装修
2,70783元/平米,"
                思明
            ",332平米,7室3厅3卫,2350万,南北,高层,简装修
3,43353元/平米,湖滨三里南,103.8平米,3室2厅1卫,450万,南北,高层,简装修
4,53455元/平米,安宝大厦,110平米,3室2厅2卫,588万,东北,中层,简装修
5,60430元/平米,恒达大厦,60.4平米,1室1厅1卫,365万,东南,中层,简装修
6,68506元/平米,瑞景公园,154平米,4室2厅2卫,1055万,南北,中层,精装修
7,58541元/平米,四季阁,104.2平米,3室2厅2卫,610万,西南,中层,简装修
8,75511元/平米,汇丰家园,38.14平米,1室1厅1卫,288万,南,中层,简装修
9,171233元/平米,珍珠湾花园别墅,438平米,8室2厅8卫,7500万,南,低层,简装修
10,53498元/平米,莲滨里,82.62平米,2室2厅1卫,442万,南北,低层,简装修
11,45882元/平米,育秀中心,170平米,3室2厅2卫,780万,西南,中层,精装修
12,47115元/平米,米兰春天,52平米,暂无,245万,北,中层,中装修
13,44981元/平米,云顶至尊,269平米,4室2厅4卫,1210万,南北,中层,精装修
14,44961元/平米,店上东里,129平米,3室2厅2卫,580万,南北,中层,中装修
15,39867元/平米,万禾春天,150平米,4室2厅2卫,598万,南北,中层,中装修
16,57890元/平米,君临宝邸,167.56平米,4室2厅2卫,970万,南北,高层,毛坯
17,46667元/平米,华林东盛花园二期,126平米,3室2厅2卫,588万,南北,低层,中装修
18,54724元/平米,凌志大厦,127平米,3室2厅2卫,695万,南,高层,简装修
19,35333元/平米,龙福花园,90平米,2室2厅1卫,318万,南北,高层,精装修
20,73337元/平米,厦禾裕景,321.8平米,5室2厅4卫,2360万,南北,低层,豪华装修
21,47216元/平米,金祥大厦,97平米,3室2厅1卫,458万,南北,高层,精装修
22,94660元/平米,厦禾裕景,153.18平米,3室2厅2卫,1450万,南北,低层,精装修
23,52450元/平米,怡祥大厦,138.8平米,4室2厅2卫,728万,南北,低层,精装修
24,32782元/平米,怡富花园,152.22平米,3室2厅2卫,499万,南北,中层,中装修
25,61765元/平米,阳光海岸别墅,272平米,5室2厅4卫,1680万,南,低层,精装修
26,44981元/平米,云顶至尊,269平米,4室2厅4卫,1210万,南北,高层,精装修
27,56480元/平米,海湾新城,168.2平米,4室2厅2卫,950万,东南,低层,精装修
28,52149元/平米,国贸怡河园,139.6平米,4室2厅2卫,728万,南北,低层,精装修
29,69731元/平米,鲁能领秀城,193.6平米,5室2厅3卫,1350万,南北,高层,豪华装修
30,74257元/平米,海峡国际社区,161.6平米,4室2厅2卫,1200万,南北,高层,精装修
31,74742元/平米,国贸春天,200.69平米,4室2厅3卫,1500万,南北,中层,精装修
32,59615元/平米,玉滨城,104平米,2室2厅1卫,620万,西北,高层,简装修
33,54949元/平米,莲滨里,78.8平米,2室2厅1卫,433万,南北,中层,简装修
34,58427元/平米,海峡国际天璟,133.5平米,3室2厅2卫,780万,东南,低层,精装修
35,56646元/平米,江山帝景,194.19平米,4室2厅3卫,1100万,南北,高层,豪华装修
36,48847元/平米,云顶至尊,264.09平米,4室2厅4卫,1290万,南北,低层,毛坯
37,46909元/平米,紫荆园,55平米,2室2厅1卫,258万,南北,中层,精装修
38,62157元/平米,美仁宫大厦,120.34平米,3室2厅2卫,748万,东北,中层,精装修
39,43448元/平米,同亨大厦,87平米,2室2厅1卫,378万,西北,中层,简装修
40,49061元/平米,瑞景新村,95.8平米,3室2厅1卫,470万,南北,高层,中装修
41,54590元/平米,东方巴黎,122平米,3室2厅2卫,666万,南北,低层,简装修
42,101211元/平米,图强小区,65.21平米,3室1厅1卫,660万,南北,高层,简装修
43,92683元/平米,台湾山庄福德堡别墅,410平米,7室2厅5卫,3800万,南,低层,毛坯
44,57740元/平米,禹洲云顶国际,109.11平米,3室2厅2卫,630万,南北,低层,精装修
45,53166元/平米,怡祥大厦,138.81平米,3室2厅2卫,738万,西南,中层,简装修
46,76477元/平米,新景世纪城A区,155.34平米,3室2厅2卫,1188万,南北,低层,中装修
47,64974元/平米,鲁能领秀城,175.3平米,4室2厅2卫,1139万,南北,低层,精装修
48,72909元/平米,鸿山新村,78.18平米,2室1厅1卫,570万,西南,中层,精装修
49,47689元/平米,惠祥花园,115.33平米,3室2厅2卫,550万,南北,高层,中装修
50,65783元/平米,海峡国际天璟,134.99平米,3室2厅2卫,888万,南,低层,精装修
51,54196元/平米,禹洲世贸国际,53.14平米,2室1厅1卫,288万,西北,中层,简装修
52,84466元/平米,鸿山小区二期,103平米,3室2厅1卫,870万,西南,高层,精装修
53,59678元/平米,福达里,142.43平米,3室2厅2卫,850万,南北,高层,精装修
54,48642元/平米,瑞景新村,148.02平米,3室2厅2卫,720万,东南,低层,中装修
55,118029元/平米,新景七星公馆,305.01平米,5室3厅4卫,3600万,南北,中层,毛坯
56,52083元/平米,育秀里,96平米,3室2厅1卫,500万,南北,中层,精装修
57,38004元/平米,美新广场,52.1平米,2室1厅1卫,198万,北,低层,精装修
58,43448元/平米,同亨大厦,87平米,2室2厅1卫,378万,西北,中层,简装修
59,41780元/平米,仙阁里,73.72平米,2室2厅1卫,308万,南北,中层,简装修
0,50000元/平米,石亭小区,46平米,3室2厅2卫,230万,南,低层,精装修
1,81627元/平米,山景叠院,156.81平米,4室2厅2卫,1280万,东,高层,暂无
2,47551元/平米,玫瑰园,147平米,5室2厅3卫,699万,南北,高层,简装修
3,49365元/平米,夏新花园,54.29平米,2室2厅1卫,268万,南北,中层,精装修
4,42335元/平米,古楼北里,58.58平米,2室1厅1卫,248万,南北,低层,简装修
5,64345元/平米,振兴新村,52.84平米,2室1厅1卫,340万,东南,低层,简装修
6,49265元/平米,莲岳里,68平米,2室2厅1卫,335万,南北,高层,简装修
7,53705元/平米,祥和广场,139.28平米,3室1厅2卫,748万,南北,高层,简装修
8,81792元/平米,瑞景公园,194.15平米,5室2厅3卫,1588万,南北,高层,简装修
9,45549元/平米,天宝大厦,72.45平米,2室2厅1卫,330万,西北,中层,中装修
10,44222元/平米,金榜大厦,90平米,3室2厅1卫,398万,南北,高层,精装修
11,60355元/平米,君临宝邸,169平米,3室2厅2卫,1020万,东南,低层,精装修
12,66972元/平米,海峡国际天璟,109平米,3室2厅1卫,730万,西南,中层,豪华装修
13,43195元/平米,嘉莲大厦,169平米,4室2厅2卫,730万,东南,低层,精装修
14,36227元/平米,和光里,93.3平米,3室2厅2卫,338万,南北,高层,精装修
15,40504元/平米,浦南新村,88.88平米,3室2厅1卫,360万,南北,低层,简装修
16,49157元/平米,湖滨南路336-338号院,83平米,3室1厅1卫,408万,南北,中层,豪华装修
17,76970元/平米,国贸春天,165平米,3室2厅2卫,1270万,南北,中层,中装修
18,40708元/平米,中信广场B幢,113平米,2室2厅2卫,460万,西,高层,简装修
19,64679元/平米,厦成海景花园,146.88平米,3室2厅2卫,950万,南北,中层,精装修
20,40998元/平米,新港龙花园,121.47平米,3室2厅2卫,498万,南北,低层,精装修
21,34993元/平米,金鸡亭花园小区,75.73平米,2室2厅1卫,265万,南北,高层,精装修
22,108000元/平米,新景七星公馆,170平米,3室2厅1卫,1836万,南北,中层,毛坯
23,51678元/平米,银聚祥邸,518.6平米,4室2厅4卫,2680万,东,高层,暂无
24,40139元/平米,华林花园二期,72平米,2室1厅1卫,289万,南北,高层,中装修
25,38217元/平米,岳阳西里,78.5平米,3室2厅1卫,300万,南北,高层,精装修
26,86932元/平米,福隆东方丽景,176平米,5室2厅2卫,1530万,南北,中层,精装修
27,53309元/平米,万峰华庭,76.91平米,2室1厅1卫,410万,北,中层,毛坯
28,47115元/平米,米兰春天,52平米,暂无,245万,北,中层,简装修
29,93056元/平米,阳光海岸别墅,360平米,5室2厅4卫,3350万,东,低层,中装修
30,55882元/平米,创冠体育大厦,136平米,3室2厅2卫,760万,西北,低层,中装修
31,43818元/平米,槟榔西里,52.49平米,1室1厅1卫,230万,南北,高层,简装修
32,38400元/平米,皓晖花园,125平米,3室2厅2卫,480万,东南,中层,简装修
33,93787元/平米,福隆东方丽景,175.93平米,7室2厅3卫,1650万,南北,低层,精装修
34,55118元/平米,凌志大厦,127平米,3室2厅2卫,700万,东南,高层,简装修
35,90857元/平米,当代天境,175平米,4室2厅2卫,1590万,南北,低层,毛坯
36,69930元/平米,东卉花园,143平米,3室2厅2卫,1000万,南北,中层,精装修
37,46667元/平米,禹洲世贸国际,60平米,2室1厅1卫,280万,东,中层,简装修
38,61362元/平米,西堤公寓,97.78平米,3室2厅1卫,600万,南北,中层,简装修
39,40397元/平米,宝龙中心二期,115.85平米,3室2厅2卫,468万,东南,低层,中装修
40,86761元/平米,当代天境,213平米,5室2厅3卫,1848万,东南,中层,毛坯
41,44300元/平米,莲花花园,221.22平米,4室2厅2卫,980万,南北,高层,中装修
42,47368元/平米,厦大南华路住宅,95平米,3室2厅1卫,450万,南北,中层,简装修
43,42308元/平米,瑞景新村,78平米,2室2厅1卫,330万,南北,高层,简装修
44,71828元/平米,厦禾裕景,93平米,2室2厅1卫,668万,东南,中层,精装修
45,43577元/平米,潇湘大厦,61.5平米,2室1厅1卫,268万,东南,高层,简装修
46,57627元/平米,东方时代广场,118平米,3室2厅1卫,680万,东南,高层,简装修
47,49559元/平米,宝龙中心二期,145.28平米,3室2厅2卫,720万,东南,中层,简装修
48,52500元/平米,音乐家生活广场,80平米,2室2厅1卫,420万,东西,低层,精装修
49,70290元/平米,鑫塔水尚,196.33平米,5室3厅3卫,1380万,南北,高层,精装修
50,42017元/平米,鹭江新城,83.3平米,3室2厅1卫,350万,南北,中层,精装修
51,78370元/平米,联发云海,319平米,6室2厅5卫,2500万,北,低层,豪华装修
52,55958元/平米,鑫塔水尚,111.69平米,3室2厅1卫,625万,东西,低层,精装修
53,56205元/平米,福达里改造项目,118.85平米,3室2厅2卫,668万,南北,中层,简装修
54,36739元/平米,流芳里,92平米,3室1厅1卫,338万,南北,低层,简装修
55,77259元/平米,厦禾裕景,321平米,5室2厅4卫,2480万,南北,中层,精装修
56,53750元/平米,瑞馨阁,80平米,2室1厅1卫,430万,南北,低层,精装修
57,78488元/平米,厦门国际广场,172平米,3室2厅1卫,1350万,南北,低层,毛坯
58,66423元/平米,海豚湾,180.66平米,4室2厅2卫,1200万,东南,中层,精装修
59,40789元/平米,文屏山庄,76平米,2室2厅1卫,310万,南北,中层,简装修
0,31844元/平米,古楼北里,158.9平米,4室2厅2卫,506万,南北,高层,简装修
1,50394元/平米,瑞景新村,93.86平米,3室2厅1卫,473万,南北,中层,简装修
2,45556元/平米,凤凰山庄,144平米,4室2厅2卫,656万,南北,中层,简装修
3,61000元/平米,厦门大学城,50平米,1室1厅1卫,305万,北,低层,精装修
4,41458元/平米,侨福城,165.95平米,4室2厅2卫,688万,南北,中层,精装修
5,41673元/平米,文兴东二里,69.11平米,2室2厅1卫,288万,北,高层,简装修
6,66595元/平米,海峡国际社区二期,92.8平米,1室2厅1卫,618万,西南,低层,精装修
7,48022元/平米,源昌广场,79.13平米,2室2厅1卫,380万,东,中层,精装修
8,50920元/平米,海豚湾小区,163平米,3室2厅3卫,830万,南北,高层,豪华装修
9,52549元/平米,新莲花新龙山花园,127.5平米,3室2厅2卫,670万,南北,中层,简装修
10,51040元/平米,金庭花园,125平米,3室2厅2卫,638万,南北,低层,精装修
11,50000元/平米,石亭小区,46平米,3室2厅2卫,230万,南,低层,精装修
12,41667元/平米,外贸新村,78平米,3室1厅1卫,325万,南北,高层,中装修
13,78452元/平米,山景叠院,155.51平米,4室2厅2卫,1220万,南北,低层,精装修
14,39295元/平米,嘉华里,83.98平米,3室1厅1卫,330万,南北,低层,简装修
15,85484元/平米,皇家御城,124平米,3室2厅2卫,1060万,南北,高层,精装修
16,77193元/平米,山水芳邻,171平米,5室2厅3卫,1320万,南北,中层,精装修
17,47458元/平米,凯旋广场,118平米,3室2厅2卫,560万,西北,中层,精装修
18,43624元/平米,益田海景大厦,149平米,4室2厅2卫,650万,西南,低层,精装修
